,comments
1045,"2:14, its Big Smoke from GTA San Andreas, just a referrence."
1046,January 8_1_2024 Anyone in 
1047,Welcome To 2023
1048,You don't need calendars anymore you have youtube coments
1049,U s b body s u win that one 
1050,2024 ️
1051,who's watching now?
1052,Still here in 2024 5.1 billions btw
1053,Is someone watching this masterpiece in 2024?
1054,"Yeah, i came here to see the mclaren's building"
1055,Whos ready for the 10 year celebration?
1056,"I love Bruno Mars and his songs, but this song was a direct copy from an 80's group called Collage and their song Young Girls. Check it out on youtube. It went to court but the jury was only able to see the sheet music and not hear the music. I'll admit, Bruno Mars and Mark Ronson took the song to another level, but I think Collage should have been given some credit and $$$ for originating it."
1057,"Ready for ""who's watching in 2019"" comments?"
1058,2023 December still watching....🫶
1059,Who's watching in 2023?
1060,The people who liked this comment is officially before 4B views
1061,Hello! It's 2024 
1062,جيڪڏھن توھان ھي ترجمو ڪيو توھان جي پسند کي ڇڏي ڏيو
1063,Who watching April 2016??
1064,Zindagi jhat hai
1065,🥹🥹🥹🥹
1066,"YouTube really  needs an "" oldest comments first "" button."
1067,5.1bil view s 
1068,
1069,look at the views.  FUCKKKK
1070,Самый свежий русский комментарий
1071,How is listening to this song in 2024
1072,Who's here after the silk sonic collabo
1073,Who is listening this masterpiece in 2024?
1074,Do want to see it one day 50 Songs
1075,I edited this comment. You'll never know what it was...
1076,all these views are my mother
1077,2024 ? 
1078,"1:34
fill my cup, put some niggah in it"
1079,I’m never getting move on at home
1080,Who's watching this in 2023?
1081,one day someone will find my comment
1082,2023 casi 2024!!?
1083,January 2024 - Over 5 trillion views!
1084,Sometimes you've got to like your own comment to get it started
1085,Like this when it’s 2008
1086,Please pin I am from India 🇮🇳🇮🇳 2024 listen this song 
1087,2019??
1088,"Jungle Love...keep waiting for the ""Oh-We-Oh-We-OH""..."
1089,2023 let's go
1090,The people who liked this comment is officially before 4 bilion views.
1091,5 billion(Millard) it's crazy
1092,"SAY WHAT???? 


Parents! Y’all just get my name, right?"
1093,Thumbs up if Bart baker brought you here
1094,2024 be like
1095,Bu şarkıyı hayatımda bir kez bile duymadım  5 milyar görüntülenme mi?
1096,Get your “Before 4Billion” ticket here.
1097,2024 anyone
1098,Who stay listening to this in 2024!
1099,epik
1100,2024 Funk
1101,ตลอดกาลลลล
1102,Who watching in 2023
1103,"I’m gonna try and get sim
President choice cranberry ginger ale drink six then do my blood sugar on my new smart phone. "
1104,Imagine this song appears in Paw Patrol Movie 3...
1105,Quie lo esta escuchando en 2023
1106,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1107,Жанммм Бруноо
1108,2024
1109,Simón 
1110,Merry Christmas
1111,See you again 6.1B 
1112,"lov lov lov them in salon with rollers and doing their thung,,,"
1113,Who's here listening  in 2024
1114,Осы әнші гренада мемлекетінікіма бруна марс майкл джексонға ұқсайды
1115,2023 anyone?
1116,Still watching in 2023
1117,"first Comment 1/1/2024 I HOPE TO U YEAR Full of Joy and Laughter !!

Wishing you a New Year filled with happiness and love."
1118,
1119,Hollywood level bakchodi 
1120,
1121,"1/1/2024 
I'm studying for exams"
1122,2023 
1123,Who’s watching in 2023 almost 2024?
1124,Me too lol idk why
1125,Who is listening to this song in 2024?
1126,Комментарии свежее хлеба 
1127,Who's watching in 2023 ?
1128,Best line HULIO your account is now in the internet lol
1129,Я в истории
1130,Katie 
1131,Dear God save me
1132,what? 10 years ago...
1133,F mark for taking all of this credit it’s obviously that Bruno did the whole song on his own why can’t this be on his channel?
1134,Anyone looking back on this in 2024?
1135,日本で見てる人いるかな？？
1136,December 2023 anyone 
1137,ငယ်ချစ်ဦးကို သတိရတယ်ကွာ
1138,2024 anyone?
1139,2024でこれ聞いてる日本人いるの？
1140,2024?
1141,2023 listeners
1142,Yes where is 2023 
1143,"Bruno Mars is one of the top pop musicians, great song.

He has become a prominent figure in the community thanks to AuthenticViews Dawt Cawm"
1144,¿Alguien en 2024?
1145,I know that young man
1146,Who's watchinc in 2023 = quien está mirando esto en 2023
1147,Bizimki uptown funk
1148,5 миллиардов...
1149,再生回数エグい
1150,I like pizza 
1151,オーイシマサヨシさんの新曲から舞い戻ってきました。
1152,2024 Anyone?
1153,2024 anyone ?? 
1154,anyone here 2024?
1155,Alguém em 2024?
1156,Who's here listening in 2024?
1157,Anyone in 2024???
1158, is the
1159,Aquí en 2024
1160,... what's up with the curlers??? Then eats a hanky and a hat... lol oh girl...
1161,0:53 0:54 0:55 0:55 0:55 0:56
1162,Tropa de 2024
1163,"https://www.youtube.com/watch?v=nzDuKAOzeLA
My version,sorry for my bad English."
1164,2 minutos....
1165,Hola buenas tardes como estas soy valentina 
1166,Now who watching in 2023
1167,Go 2023 
1168,2023 baby
1169,no a
1170,AlI like  the miusic
1171,2023  come to 2024 
1172,La verdad si 0:54
1173,Who's that crazy chick in the pink jacket singing.
1174,2024 anyone???
1175,Anyone 2024..?
1176,People who came in January 2024
1177,Who watching this in 2023?
1178,"Wind band version Uptown Funk

https://www.youtube.com/watch?v=gZZAeGg30dE   @4:10~

Uptown Funk − 京都橘高校吹奏楽部

https://www.youtube.com/watch?v=Hck0Xbg9rm0"
1179,Who's listening in 2024?
1180,good jo  b
1181,Who lisining 2023-2024?
1182,who  rewatching in 2023
1183,here in 2023
1184,2024 anyone 
1185,"This interview with Michelle Pfeiffer is what brought me to YouTube to figure out what they were talking about.
https://youtu.be/HN6hTYlkUzE"
1186,Help me get my boy out there
1187,"2023, someone?"
1188,We police our own masses gd /bd bd /gd get it my men :)) 
1189,2024 listeners?  
1190,2023 almost 2024
1191,2024 is coming!!
1192,なまらめんこいギャル聞いてこっち来た
1193,Maybe first one to see it in 2024
1194,いまいいねついたら流石に怖い
1195,2k24
1196,2024 anyone?
1197,0:21 every non-female model should click off the video rn
1198,Who's watching this in December 2023? :'v
1199,See and search  joe tex “Aint gonna bump no more”
1200,I’m ice cold and it winter
1201,Who listening in 2024?
1202,2024 anyone?
1203,xd las visitas
1204,"'"" Shut Up
and
SHOW
ME '""  !!!"
1205,Who's here 2023
1206,Harmony
1207,2024
1208,Good but silly
1209,Someone in 2024?
1210,2024 anyone?
1211,Anyone still here 2024?
1212,"Dear stranger whoever reads this:

.

."
1213,All this time where put on captions one off lyrics says to be word
1214,Why is Bruno mars feat?
1215,25/12/2023
1216,team les crocos 
1217,5 bilhões
1218,This is a great song but when it was the uptown funk it was like the F word!
1219,BANG BRUNO YANG BAJU WARNA P[INK MIRIP RISKI SATRIA DARMAWAN
1220,2067 anyone ??
1221,"Who is listening in 2024,"
1222,El Mencho damn
1223,We ...
1224,Who's watching in 1985?
1225,Who's listening in 2023 ?
1226,Who's watching in 2023?
1227,Happy
1228,I'm listening in 2024
1229,‌‌‌‌‌‌‌‌‌
1230,Саня валим ( отсылочка для русских от меня)
1231,people 2023?
1232,Bro said the n word and he is not black he’s white
1233,ホントに強いしイケオジです事大好き抱きしめてお願いしますでも連れて逝かないでお願いします
1234,2024 ???
1235,Its 9 years ago
1236,Who is watching this in 2023
1237,2023 anyone??
1238,"2024, anyone?"
1239,2023 anyone?
1240,Et 2024 ? 
1241,Quem está assistindo em 2023
1242,Who's here in 2023?
1243,Anyone in 2025?
1244,Anyone 2024🫰
1245,Who is from 2024
1246,"2024

 7 de enero"
1247,Well im in 2023
1248,Who's listening in 2031?
1249,Anyone 2024 
1250,Who is here in 2024? 
1251,I’m watching in 2023
1252,متزيديش تعاودي
1253,2024 anyone?
1254,Good adicion in Sonic The Hegedhog 2 movie
1255,2024 anyone?
1256,2024 anyone?
1257,Who from 2023 ?)
1258,2024 anybody?
1259,Who's here listening in 2028?
1260,Who watch in 2024?
1261,2024???
1262,2024 anyone?
1263,who watching in 2070?
1264,2025 gang
1265,2024 someone ?
1266,Who here in 2026?
1267,Who's whatching this in 2023
1268,2024 anyone here?
1269,Social introvert ️
1270,2023 anyone?
1271,2050 am here
1272,2024 anyone??
1273,Stop wait a minute LOL... Everything's getting worse in this country... I get to pay more taxes I'm having a party
1274,2023 dec
1275,Hmmmmm? 6 and counting
1276,Itom buli ni juswa
1277,Who watching in 2023 
1278,Who's here in 2024?
1279,Who is from 2025? If you are from 2025 then you are a time traveler
1280,Anybody from 2024?! 
1281,2023 ....?
1282,My name is Rachel and I'm in seventh grade for twelve years
1283,I came here in 2024
1284,Good bye 2023
1285,Who watching in 2023 
1286,Here!!!
1287,Michael Jackson singing batter
1288,2024 ?
1289,0:50
1290,0:50
1291,Who's watching in 2023
1292,2024?
1293,2024?
1294,2023?
1295,2024 anyone
1296,Who's watching in 2024??
1297,Who watching in 2023 end
1298,Nah bro who’s watching in 2023 ?
1299,2024 anyone?
1300,2024?
1301,2024?
1302,2024 from India anybody?
1303,Who listen in 2024
1304,3:28
1305,From first day on 2024
1306,Who which is watching 2024 
1307,3:29
1308,Anyone in December 2023?
1309,He said the n word 
1310,Who’s whatching in 2023?
1311,Anyone in 2024?
1312,Anyone here 2024
1313,Who's watching in 2023
1314,Me XD
1315,1:30
1316,Avan nalh chiangkuang tak arei tawh nen
1317,3:49
1318,2023?
1319,Bro soccer mom in the minivan
1320,0:11 oooooooooooooooooooo
1321,Is any from 2024?.....
1322,2023?
1323,9years for a 5.1billion views  and Like
1324,2024 who listen
1325,Who's watching in 2023?
1326,Anyone in 2024?
1327,2:14
1328,A i'm god
1329,2023
1330,Who is here in 2026
1331,Bruno you no what happened if your with curtis then im fine you work against him you no its limbo there is no on can be as up there as his and her highness up town cant reach us. Like the grand old duke of york had 10000 men marched them up to top of hill marched them down again. When they were up they were up when dow they were down but now there only half way up niether up nor down. Thats limbo 
1332,Baby hulio the baby wooly monkey in summer set he was a baby looking at me i was like i see u son and them all they are going home. You no what was done what i needed the wild life wild west and dont worry i no they love me and have been on platforms to reach me and i picked them up there not terminal heading for extinction
1333,XD
1334,2023?
1335,I'm from 2023
1336,3:48
1337,Jan 4 2024 anyone
1338,No me gusta nada la canción ni el cantante (Mars) pero esta canción y otras de él le gustan a mi hermana.
1339,Anyone in January 2024?
1340,I am in 2024
1341,Anyone in 2024 ?
1342,we watching from 2024
1343,2024 anyone?
1344,who’s watching in 2024?
1345,ناموسا پنج میلیارد ویو کم نیستا کله جمعیت کره ی زمین ۷ میلیارد هستش و ۵ میلیارد از اون جمعیت اومدن یوتیوب این موزیک ویدیو رو پلی کردن .
1346,Who's watching in 2024?
1347,"https://www.youtube.com/watch?v=mjPGyLx6bYI&list=RDsagx_4ioTEk&index=2

Angelina Mango - Voglia di vivere (Official Audio)"
1348,2:36
1349,2024 Gang
1350,MTv 8 TOP COLLABORATIONS 2024...
1351,Any one December 2023
1352,Anyone here from 2024?
1353,Ooh
1354,2024 anyone!
1355,2024 anyone?
1356,"Whos wached in 2023 
  |
  |
 \ /"
1357,Who is here listening in 2025?
1358,Who's Watching in 2023 ?
1359,In 2023?
1360,Anyone watching 2024
1361,"LW:Ronaldinho
ST:Cristiano Ronaldo
RW:Messi"
1362,Mark Ronson you were right or some fuck
1363,Who’s watching in 2024?
1364,My objective is installation of 2*10^(46) watt solar panel
1365,Who's is here 2024???????
1366,Who's watching in 2023
1367,2024
1368,2024
1369,Anyone in 2023?
1370,2026 anyone??
1371,2024
1372,2024
1373,Who's watching in 2023?
1374,"ok im done with this song thought, i swear he says the n word at 1.34 the word liqour sounds like the n word entirely like wtf, is it just me like i even slow motioned it and still the starting letter is a N not an L like wtf."
1375,whos here in 2024
1376,2024
1377,Who's here in 2025? 
1378,2024
1379,Anyone 2025? GTA 6 is a great masterpiece by the way
1380,2023
1381,2023
1382,2023
1383,Who’s watching 2024
1384,Who listening from 2024？
1385,Eskiler
1386,Anyone in 2024
1387,Watching in December 20 2023
1388,Anyone December 2023 ??
1389,Who watching december 21 2023
1390,Hanya saturnus
1391,2023 anyone 
1392,Where are you listenning?
1393,เพิ่มมูลลค่าโว๊ยยหนัง sofi  เห้ยยยๆ
1394,2023
1395,2023
1396,Someone in 2023
1397,"PHILADELPHIA 
USA🇺🇲️️‍🪷️️️️️️"
1398,Who's watching this in 2024
1399,Who’s watching in 2023
1400,DANCING TRUMP
1401,3:29  is the part
1402,ハルクくんのOP
1403,So geht CatCallin....°_° oder?
1404,2024 ppl
1405,Who's watching in 2023
1406,Who's watching in 2023
1407,2023?
1408,AY
1409,Does Julia fabris still love this song amd Michele fifers gold
1410,Who's watching in 2025?
1411,its almost 2024 Anyone??
1412,Who is watching in 2023
1413,Last month2023 anyone
1414,オーイシから
1415,2023.December 19
1416,who.s watching in 2024
1417,FILIPINOS FOR TRUMP
1418,Je regarde en 2023
1419,Who's watching in 2024
1420,I was trying to use the song with the real I was doing earlier that is your one and only Christmas present you guys and now it’s gone
1421,.
1422,Jan 9 2024
1423,Who's watching in 2023 ?
1424,Hi
1425,Old pes
1426,Where 2023?
1427,"Fuk
My stomach hurts"
1428,12.23.23
1429,Jan. 9 2024
1430,なう(2024/01/07 18:25:37)
1431,Gentlemen/thugs crminaks/crmn neverrrrrrrr
1432,@ㅇ@
1433,2024 people
1434,я
1435,Video History and Culture Phrases :   https://www.youtube.com/watch?v=hbANDEMq8cg
1436,Who's watching in 2023
1437,so
1438,Whos watching 2024???
1439,Dec 2023
1440,5 B✓
1441,Me.
1442,me
1443,Me
1444,Me
1445,Aqkqok sej
1446,like jim steinman.....the jewish writer showcases himself in the video. lol.
1447,This new to be on Forza horizon 456780828282848439
1448,Me
1449,Me
1450,Me
1451,Me
1452,Me
1453,2
1454,Me
1455,Me
1456,9
1457,Me
1458,Me
1459,Me
1460,Me
1461,Here
1462,Great song but is such a Prince knock off. In that funky way
1463,"U,,,,,,,,, 0:33"
1464,Hey
1465,i own ten accounts arose 4 serves
1466,SAMELA????
1467,Ez year
1468,Mark Kluka my name and name
1469,Admit that you came to check the number of views 
1470,Sonic 2
1471,なまらめんこいどさんこギャル
1472,2024 
1473,0:51
1474,This song gets on my nerves already
1475,6
1476,Who's watching in 2023 ?
1477,B
1478,Už hhw. Bd️
1479,Довольно скучная песенка...
1480,Dance jk choooooosw hey harmony win me us secccccc
1481,Sal sal sal el sol.sh nuder smia sh
1482,Okj  marth
1483,Tobagoian trini 27 December 2023
1484,あっかんB太郎のed
1485,the alkali f
1486, 2024 ?
1487,Sackboy big aventure video game ps5 good
1488,Orangalvocanct
1489,I do like the song but please. I'm begging you. Stop making rip-off Of other people song
1490,it have my  name you see g uys it have my name Julio
1491,No not one bit
1492,ZnzmzmMMzmmmmmmmmmmmmm
1493,Lghtgoodnss
1494,This should be better than Michael Jackson.
1495,Axel no es jop
1496,Is Martha Stewart goin back to jail for a bigger crime the. She did begore
1497,
1498,Ur mmom
1499,it is not praise  no holy
1500,9 all ready
1501,"sorry utub, orz<,,,?"
1502,FILIPINOS FOR TRUMP!!
1503,Мал
1504,Q qjqbjababbabbabbabababbabb
1505,TRUMP 2024
